ranges	KiWi	KAry	JavaSkipList	SnapTree
100	2903113.519	2694653.328	2068587.173	24336.43907
120	6494116.428	7139533.911	6295395.317	51219.50985
144	18596166.84	17347207.2	19896194.41	234446.1629
172	38188335.92	38533485.14	44356916.94	795938.931
207	71584952.68	56171612.09	65048036.45	3128416.174
249	107142929.6	68838179.94	84173683.71	10514898.24
299	112278848.3	72600359.59	92754711.88	50872685.23
358	109506297.8	66590749.41	81707752.34	105764420.2
430	116726889.6	2764472.416	99466002.02	121745569.2
