ranges	KiWi	KAry	JavaSkipList	SnapTree
100	11846825.79	10757669.42	9210553.517	10548598.44
120	31101663.76	31070849.37	31192670.01	31405536.66
144	95598428.98	83912390.38	85485454.78	84986018.89
172	199072061.4	174527923.5	120717589.9	129776001.1
207	292169843.7	263004154.9	144890019.6	169254577.5
249	315310827.4	294773504.8	222940973.7	211938140.3
299	340945797.7	290341147.3	209619999.1	203150102.3
358	408147748.5	293901441.1	217056256.3	139365139.9
