ranges	KiWi	KAry	JavaSkipList	SnapTree
100	5594118.155	6714214.267	3854034.765	14769.06145
120	14122828.49	18097268.96	13979909.99	67039.52239
144	39785837.77	45234103.96	34610466.29	208757.3875
172	84304228.97	87203736.85	52427504.62	768181.1286
207	121834775.9	114587114	62705124.57	2582572.411
249	156911087.4	128150050.6	67628130.51	11445954.82
299	157933274.9	118816702	68614095.01	42290163.63
358	147879973.1	8125805.268	67266749.07	75666832.37
