ranges	KiWi	KAry	JavaSkipList	SnapTree
100	2172719.763	1441109.714	1868953.655	16733.20089
120	2027279.626	1564596.119	1516039.398	10154.98914
144	2017343.319	1458610.656	1551641.054	13840.27351
172	1899788.3	1612593.788	1557840.827	9914.527029
207	1963290.733	1584919.962	1518954.243	20633.47837
249	1959064.586	1591193.818	1611019.433	15982.32007
299	1818205.286	1758811.668	1484150.375	25262.78713
358	1832691.818	1873699.556	1501082.99	97021.3035
430	1782032.11	1399865.361	1518813.355	139203.8835
